screen,off,,1572067841916
screen,on,,1572068411997
screen,off,,1572068513743
screen,off,,1572068539843
screen,off,,1572068601028
screen,on,,1572068644270
screen,off,,1572068818150
screen,off,,1572068826382
screen,on,,1572085994255
screen,on,,1572086116723
screen,on,,1572086297591
screen,off,,1572086329430
screen,off,,1572100968518
screen,on,,1572101051185
screen,off,,1572101454670
screen,off,,1572101474050
screen,on,,1572101488749
screen,on,,1572101680733
screen,off,,1572101688634
screen,on,,1572101834891
screen,off,,1572101861934
screen,off,,1572101882216
screen,off,,1572102147069
screen,off,,1572102237226
screen,on,,1572102470028
screen,on,,1572102471019
screen,on,,1572102547156
screen,on,,1572102551917
screen,on,,1572102561993
screen,off,,1572102570514
screen,on,,1572102824844
screen,off,,1572103106093
screen,on,,1572103373078
screen,off,,1572103404806
screen,off,,1572103494505
screen,off,,1572103654512
screen,on,,1572104200232
screen,off,,1572104330891
screen,on,,1572104902543
screen,off,,1572104907344
screen,on,,1572105022029
screen,on,,1572105047207
screen,off,,1572105054889
screen,on,,1572105226604
screen,off,,1572105399949
screen,off,,1572105430707
screen,off,,1572105439584
screen,on,,1572105704774
